Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3702,T:System.Web.UI.WebControls.GridView,,,,,gvLoanHistory.DataBind();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3702,M:System.Web.UI.WebControls.GridView.DataBind,,,,,gvLoanHistory.DataBind();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3675,T:System.Web.UI.WebControls.GridView,,,,,gvLoanHistory.DataSource=t;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3675,P:System.Web.UI.WebControls.BaseDataBoundControl.DataSource,,,,,gvLoanHistory.DataSource=t;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3655,M:System.Data.SqlClient.SqlConnection.Open,,,,,c.Open();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3618,T:System.Data.SqlClient.SqlDataAdapter,,,,,using(var a=new SqlDataAdapter(cmd)){c.Open();a.Fill(t);}
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3618,M:System.Data.SqlClient.SqlDataAdapter.#ctor(System.Data.SqlClient.SqlCommand),,,,,using(var a=new SqlDataAdapter(cmd)){c.Open();a.Fill(t);}
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3437,T:System.Data.SqlClient.SqlCommand,,,,,"using(var cmd=new SqlCommand(""SELECT TOP 25 ApplicationID, CustomerID, RequestedAmount, TermMonths, Status, ApplicationDate FROM LoanApplications ORDER BY ApplicationDate DESC;"",c))using(var a=new SqlDataAdapter(cmd)){c.Open();a.Fill(t);}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3437,"M:System.Data.SqlClient.SqlCommand.#ctor(System.String,System.Data.SqlClient.SqlConnection)",,,,,"using(var cmd=new SqlCommand(""SELECT TOP 25 ApplicationID, CustomerID, RequestedAmount, TermMonths, Status, ApplicationDate FROM LoanApplications ORDER BY ApplicationDate DESC;"",c))using(var a=new SqlDataAdapter(cmd)){c.Open();a.Fill(t);}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3336,T:System.Configuration.ConfigurationManager,,,,,"using(var c=new SqlConnection(ConfigurationManager.ConnectionStrings[""ZavaBankDb""].ConnectionString))using(var cmd=new SqlCommand(""SELECT TOP 25 ApplicationID, CustomerID, RequestedAmount, TermMonths, Status, ApplicationDate FROM LoanApplications ORDER BY ApplicationDate DESC;"",c))using(var a=new SqlDataAdapter(cmd)){c.Open();a.Fill(t);}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3336,T:System.Configuration.ConnectionStringSettingsCollection,,,,,"using(var c=new SqlConnection(ConfigurationManager.ConnectionStrings[""ZavaBankDb""].ConnectionString))using(var cmd=new SqlCommand(""SELECT TOP 25 ApplicationID, CustomerID, RequestedAmount, TermMonths, Status, ApplicationDate FROM LoanApplications ORDER BY ApplicationDate DESC;"",c))using(var a=new SqlDataAdapter(cmd)){c.Open();a.Fill(t);}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3336,P:System.Configuration.ConfigurationManager.ConnectionStrings,,,,,"using(var c=new SqlConnection(ConfigurationManager.ConnectionStrings[""ZavaBankDb""].ConnectionString))using(var cmd=new SqlCommand(""SELECT TOP 25 ApplicationID, CustomerID, RequestedAmount, TermMonths, Status, ApplicationDate FROM LoanApplications ORDER BY ApplicationDate DESC;"",c))using(var a=new SqlDataAdapter(cmd)){c.Open();a.Fill(t);}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3336,T:System.Configuration.ConnectionStringSettings,,,,,"using(var c=new SqlConnection(ConfigurationManager.ConnectionStrings[""ZavaBankDb""].ConnectionString))using(var cmd=new SqlCommand(""SELECT TOP 25 ApplicationID, CustomerID, RequestedAmount, TermMonths, Status, ApplicationDate FROM LoanApplications ORDER BY ApplicationDate DESC;"",c))using(var a=new SqlDataAdapter(cmd)){c.Open();a.Fill(t);}"
